market                                   side     ours   others    total    tgt qual self off  $/day
usgubewc-usgub-id-2026-11-03-dem         BUY         0      276      276  2,000   NO   no   -   0.00
usgubewc-usgub-id-2026-11-03-dem         SELL        0  208,290  208,290  2,000    y   no   -   0.00
usgubewc-usgub-id-2026-11-03-rep         BUY         0  500,946  500,946  2,000    y   no   -   0.00
usgubewc-usgub-id-2026-11-03-rep         SELL      822    3,675    4,497  2,000    y   no   0   2.10
usgubewc-usgub-il-2026-11-03-dem         BUY         0  600,700  600,700  2,000    y   no   -   0.00
usgubewc-usgub-il-2026-11-03-dem         SELL      422   12,521   12,943  2,000    y   no   0   0.22
usgubewc-usgub-il-2026-11-03-rep         BUY       400    2,950    3,350  2,000    y   no   0   0.79
usgubewc-usgub-il-2026-11-03-rep         SELL       75  208,560  208,635  2,000    y   no   0   1.35
usgubewc-usgub-ma-2026-11-03-dem         BUY         0      201      201  2,000   NO   no   -   0.00
usgubewc-usgub-ma-2026-11-03-dem         SELL        0   21,301   21,301  2,000    y   no   -   0.00
usgubewc-usgub-ma-2026-11-03-rep         BUY       300    2,885    3,185  2,000    y   no   0   0.63
usgubewc-usgub-ma-2026-11-03-rep         SELL       50      225      275  2,000   NO   no   0   0.00
usgubewc-usgub-md-2026-11-03-dem         BUY        25  500,232  500,257  2,000    y   no   0   2.74
usgubewc-usgub-md-2026-11-03-dem         SELL        0   25,280   25,280  2,000    y   no   -   0.00
usgubewc-usgub-md-2026-11-03-rep         BUY         0   10,276   10,276  2,000    y   no   -   0.00
usgubewc-usgub-md-2026-11-03-rep         SELL       20   65,478   65,498  2,000    y   no   0   5.43
usgubewc-usgub-me-2026-11-03-dem         BUY         0  500,517  500,517  2,000    y   no   -   0.00
usgubewc-usgub-me-2026-11-03-dem         SELL        0   51,389   51,389  2,000    y   no   -   0.00
usgubewc-usgub-me-2026-11-03-rep         BUY         0   41,276   41,276  2,000    y   no   -   0.00
usgubewc-usgub-me-2026-11-03-rep         SELL        0   65,477   65,477  2,000    y   no   -   0.00
