ts,family,market,side,qty,px,purpose,est_day,rested_h,fair,band_lo,band_hi,conf,touch_bid,touch_ask,conc,pos_after,why
1787367960.7,politics,scc-hrep-rep-2026-11-03-gte200,SELL,1,0.56,sell,0.5919,0.03,0.636825,59,72,0.445,0.56,0.96,0.0768,0,an exit — its fill reduces the position it sits on
1787368200.7,politics,usgubewc-usgub-mn-2026-11-03-rep,SELL,3,0.08,sell,6.1974,5.15,0.00685,6,12,0,0.08,0.1,-0.0732,0,selling filled stock — it earns while it waits
1787369280.7,politics,usgubewc-usgub-sc-2026-11-03-dem,BUY,1,0.15,earn,6.2306,0.08,0.028525,12,19,0.392,0.12,0.21,0.1215,1,3 ticks in front of the touch — closer to the midpoint; ~99.7% of the bid side
1787369280.7,politics,enwc-ussep-ok-2026-08-25-dem-nkitho,SELL,1,0.88,earn,6.1881,0.02,,93,98,0.594,0.82,0.97,0.08,-2,joins the touch — the book has been quiet
1787370720.7,cfb,aachc-cfb-wins-2026-11-28-txst-6pt5wins,BUY,0.5,0.54,earn,2.4805,9.24,,51,56,0,0.54,0.55,0,0.5,3 ticks in front of the touch — closer to the midpoint; ~97.3% of the bid side
1787371080.7,cfb,aachc-cfb-wins-2026-11-28-okl-8pt5wins,BUY,1,0.57,sell,0.0134,23.65,,53,61,0,0.57,0.58,0,0,an exit — its fill reduces the position it sits on
1787371920.7,politics,enwc-uspres-nom-dem-2028-gavnew,SELL,1,0.34,earn,0,0.63,,19,27,0.447,0.2,0.43,-0.11,-15,4 ticks in front of the touch — closer to the midpoint; ~98.7% of the ask side
1787372100.7,cfb,aachc-cfb-wins-2026-11-28-utahst-4pt5wins,SELL,0.5,0.59,earn,0.5159,1.17,,55,61,0,0.57,0.59,-0.01,-0.5,joins the touch — the book has been quiet
1787372160.7,cfb,aachc-cfb-wins-2026-11-28-utahst-6pt5wins,SELL,0.5,0.21,earn,0.8327,10.98,,18,23,0,0.2,0.21,0,-0.5,5 ticks in front of the touch — closer to the midpoint; ~25.3% of the ask side
1787372460.7,politics,usgubewc-usgub-tx-2026-11-03-dem,SELL,0.87,0.17,earn,1.0602,1.13,0.1251,10,17,0,0.16,0.17,-0.0449,-16.87,at the touch — a fill here is 4 ticks inside value (Silver + evidence)
1787373120.7,politics,enwc-ussep-ok-2026-08-25-dem-nkitho,SELL,1,0.9,earn,0,0.08,,93,98,0.692,0.87,0.94,0.06,-3,7 ticks in front of the touch — closer to the midpoint; ~99.8% of the ask side
1787373360.7,politics,enwc-uspres-nom-dem-2028-jbpri,BUY,1,0.37,sell,5.8824,0.15,,12,36,0.417,0.1,0.42,0.13,-10,an exit — its fill reduces the position it sits on
